size,N,D,E,seed,nv,solver,obj,makespan,feasible,violations,wall_clock_s,skipped,n_assignments,skip_reason
Small,5,1,1,42,45,Greedy,2009.0,9.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 2, 'C4_spillover': 0}",0.0,False,,
Small,5,1,1,42,45,GA,2009.0,9.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 2, 'C4_spillover': 0}",0.18155288696289062,False,5.0,
Small,5,1,1,42,45,SA,2009.0,9.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 2, 'C4_spillover': 0}",0.021028995513916016,False,5.0,
Small,5,1,1,42,45,TS,2009.0,9.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 2, 'C4_spillover': 0}",0.1090695858001709,False,5.0,
Small,5,1,1,42,45,QA_neal,1008.0,8.0,False,"{'C1_unassigned': 1, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",1.36618971824646,False,4.0,
Small,5,1,1,42,45,SBM,5010.0,10.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 3, 'C4_spillover': 2}",0.005999326705932617,False,5.0,
Small,5,1,1,42,45,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Small,5,1,1,7,45,Greedy,1009.0,9.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 1, 'C4_spillover': 0}",0.0,False,,
Small,5,1,1,7,45,GA,1009.0,9.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 1, 'C4_spillover': 0}",0.1790025234222412,False,5.0,
Small,5,1,1,7,45,SA,1009.0,9.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 1, 'C4_spillover': 0}",0.02499985694885254,False,5.0,
Small,5,1,1,7,45,TS,1009.0,9.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 1, 'C4_spillover': 0}",0.12104058265686035,False,5.0,
Small,5,1,1,7,45,QA_neal,1011.0,11.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 1}",0.826930046081543,False,5.0,
Small,5,1,1,7,45,SBM,2009.0,9.0,False,"{'C1_unassigned': 1, 'C1_double': 0, 'C2_overlap': 1, 'C4_spillover': 0}",0.0049970149993896484,False,4.0,
Small,5,1,1,7,45,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Small,5,1,1,1234,45,Greedy,8.0,8.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
