size,N,E,solver,n_runs,mean_makespan,std_makespan,mean_wall_s,feas_rate
Large,50,5,GA,5,19.6,0.8944271909999154,1.2331434726715087,1.0
Large,50,5,Greedy,5,19.6,0.8944271909999154,0.002594614028930664,1.0
Large,50,5,SA,5,19.6,0.8944271909999154,0.16448421478271485,1.0
Large,50,5,TS,5,19.6,0.8944271909999154,1.9617981433868408,1.0
Large,50,10,GA,5,10.2,0.44721359549995815,1.3190485477447509,1.0
Large,50,10,Greedy,5,10.2,0.44721359549995815,0.0024003982543945312,1.0
Large,50,10,SA,5,10.2,0.44721359549995815,0.16232528686523437,1.0
Large,50,10,TS,5,10.2,0.44721359549995815,2.028812551498413,1.0
Large,50,20,GA,5,5.2,0.44721359549995787,1.294196367263794,1.0
Large,50,20,Greedy,5,5.2,0.44721359549995787,0.0020042896270751954,1.0
Large,50,20,SA,5,5.2,0.44721359549995787,0.17536654472351074,1.0
Large,50,20,TS,5,5.2,0.44721359549995787,2.0138638496398924,1.0
Medium,20,3,GA,5,13.2,0.44721359549995815,0.5157805442810058,1.0
Medium,20,3,Greedy,5,13.2,0.44721359549995815,0.0,1.0
Medium,20,3,QA_neal,5,28.4,0.547722557505166,65.67055764198304,0.0
Medium,20,3,SA,5,13.2,0.44721359549995815,0.06760797500610352,1.0
Medium,20,3,SBM,5,28.8,0.44721359549995815,0.8471297264099121,0.0
Medium,20,3,TS,5,13.2,0.44721359549995815,0.7354727745056152,1.0
Medium,20,5,GA,5,8.2,0.44721359549995815,0.5269267082214355,1.0
Medium,20,5,Greedy,5,8.2,0.44721359549995815,0.0006002426147460937,1.0
Medium,20,5,QA_neal,5,28.4,0.547722557505166,148.6435987472534,0.0
Medium,20,5,SA,5,8.2,0.44721359549995815,0.057602453231811526,1.0
Medium,20,5,SBM,5,28.6,0.5477225575051665,2.3832232475280763,0.0
Medium,20,5,TS,5,8.2,0.44721359549995815,0.6984228134155274,1.0
Medium,20,10,GA,5,4.2,0.44721359549995787,0.4661038875579834,1.0
Medium,20,10,Greedy,5,4.2,0.44721359549995787,0.0006007194519042969,1.0
Medium,20,10,SA,5,4.2,0.44721359549995787,0.058799028396606445,1.0
Medium,20,10,TS,5,4.2,0.44721359549995787,0.6808456420898438,1.0
Small,5,1,GA,5,8.6,0.547722557505166,0.17415518760681153,0.4
Small,5,1,Greedy,5,8.6,0.547722557505166,0.0,0.4
Small,5,1,QA_neal,5,9.2,1.6431676725154984,0.9249410152435302,0.4
Small,5,1,SA,5,8.6,0.547722557505166,0.020607805252075194,0.4
Small,5,1,SBM,5,9.0,0.7071067811865476,0.0058018207550048825,0.4
Small,5,1,TS,5,8.6,0.547722557505166,0.1032191276550293,0.4
Small,5,3,GA,5,3.6,0.5477225575051661,0.2132706642150879,1.0
Small,5,3,Greedy,5,3.6,0.5477225575051661,0.0,1.0
Small,5,3,QA_neal,5,10.0,0.0,2.7417909145355224,0.0
Small,5,3,SA,5,3.6,0.5477225575051661,0.019805049896240233,1.0
Small,5,3,SBM,5,10.0,0.7071067811865476,0.014188385009765625,0.2
Small,5,3,TS,5,3.6,0.5477225575051661,0.22480506896972657,1.0
Small,5,5,GA,5,2.6,0.5477225575051661,0.23014731407165528,1.0
Small,5,5,Greedy,5,2.6,0.5477225575051661,0.0,1.0
Small,5,5,QA_neal,5,10.4,0.5477225575051662,5.263984441757202,0.0
Small,5,5,SA,5,2.6,0.5477225575051661,0.02321147918701172,1.0
Small,5,5,SBM,5,10.4,0.547722557505166,0.019379615783691406,0.0
Small,5,5,TS,5,2.6,0.5477225575051661,0.23212275505065919,1.0
