N,T,nvars,seed,BF_cost,BF_time,SA_cost,SA_time,SA_abs_gap,SA_optimal,QAOA1_cost,QAOA1_time,QAOA1_err,QAOA1_abs_gap,QAOA1_optimal,QAOA2_cost,QAOA2_time,QAOA2_err,QAOA2_abs_gap,QAOA2_optimal,QAOA3_cost,QAOA3_time,QAOA3_err,QAOA3_abs_gap,QAOA3_optimal
2,2,4,42,0.0,0.0,0.0,0.007999897003173828,0.0,True,0.0,0.2806973457336426,,0.0,True,0.0,0.4439656734466553,,0.0,True,0.0,0.5394773483276367,,0.0,True
2,2,4,7,0.0,0.0,0.0,0.008022308349609375,0.0,True,0.0,0.2690083980560303,,0.0,True,0.0,0.43000221252441406,,0.0,True,0.0,0.5189881324768066,,0.0,True
2,2,4,1234,0.0,0.0,0.0,0.008000850677490234,0.0,True,0.0,0.30864787101745605,,0.0,True,0.0,0.4174368381500244,,0.0,True,0.0,0.5592696666717529,,0.0,True
2,2,4,100,0.0,0.0010006427764892578,0.0,0.0070018768310546875,0.0,True,0.0,0.15070605278015137,,0.0,True,0.0,0.4252488613128662,,0.0,True,0.0,0.52976393699646,,0.0,True
2,2,4,200,0.0,0.0,0.0,0.006999492645263672,0.0,True,0.0,0.19802331924438477,,0.0,True,0.0,0.4023168087005615,,0.0,True,0.0,0.5634534358978271,,0.0,True
3,3,9,42,0.0,0.0019998550415039062,0.0,0.021971702575683594,0.0,True,0.0,0.7899782657623291,,0.0,True,0.0,1.2545924186706543,,0.0,True,0.0,1.677072286605835,,0.0,True
3,3,9,7,0.0,0.0019981861114501953,0.0,0.01599907875061035,0.0,True,0.0,0.8067877292633057,,0.0,True,0.0,1.283362627029419,,0.0,True,0.0,1.699831485748291,,0.0,True
3,3,9,1234,0.0,0.001998424530029297,0.0,0.016033411026000977,0.0,True,0.0,0.8026614189147949,,0.0,True,0.0,1.2319905757904053,,0.0,True,0.0,1.7020039558410645,,0.0,True
3,3,9,100,0.0,0.0020003318786621094,0.0,0.016008377075195312,0.0,True,1.7013279752918944,0.7794694900512695,,1.7013279752918944,False,0.0,1.2665479183197021,,0.0,True,0.0,1.7177019119262695,,0.0,True
3,3,9,200,0.0,0.001995563507080078,0.0,0.014972448348999023,0.0,True,1.7638134338863418,0.7394332885742188,,1.7638134338863418,False,0.0,1.2441227436065674,,0.0,True,0.0,1.7098240852355957,,0.0,True
4,3,12,42,0.0,0.018997669219970703,0.0,0.022005081176757812,0.0,True,0.0,2.0845000743865967,,0.0,True,0.0,3.2682437896728516,,0.0,True,0.0,4.255170822143555,,0.0,True
4,3,12,7,0.0,0.024999141693115234,0.0,0.02400064468383789,0.0,True,0.0,1.9788503646850586,,0.0,True,0.0,3.155423641204834,,0.0,True,0.0,4.2516090869903564,,0.0,True
4,3,12,1234,0.0,0.027033090591430664,0.0,0.027965784072875977,0.0,True,0.0,1.999967336654663,,0.0,True,0.0,3.2180094718933105,,0.0,True,3.3803079102503517,4.253393650054932,,3.3803079102503517,False
4,3,12,100,0.0,0.032996416091918945,0.0,0.020000457763671875,0.0,True,2.927753865193111,1.5916714668273926,,2.927753865193111,False,0.0,3.1258955001831055,,0.0,True,0.0,4.323559284210205,,0.0,True
4,3,12,200,0.0,0.026000499725341797,0.0,0.024841785430908203,0.0,True,3.102139452007539,1.9832994937896729,,3.102139452007539,False,0.0,3.270958423614502,,0.0,True,0.0,4.331478118896484,,0.0,True
5,3,15,42,0.0,0.23600244522094727,0.0,0.027028560638427734,0.0,True,0.0,6.23884129524231,,0.0,True,0.0,10.35344386100769,,0.0,True,0.0,14.466773986816406,,0.0,True
5,3,15,7,0.0,0.20129680633544922,0.0,0.03400087356567383,0.0,True,0.0,6.47180962562561,,0.0,True,0.0,11.095885038375854,,0.0,True,0.0,14.088765859603882,,0.0,True
5,3,15,1234,0.0,0.20004749298095703,0.0,0.02702927589416504,0.0,True,0.0,6.316460847854614,,0.0,True,0.0,10.31919550895691,,0.0,True,0.0,14.081603527069092,,0.0,True
5,3,15,100,0.0,0.2120046615600586,0.0,0.029026031494140625,0.0,True,7.88773466658563,6.160974979400635,,7.88773466658563,False,0.0,10.352805376052856,,0.0,True,2.9886181998957024,14.146377086639404,,2.9886181998957024,False
5,3,15,200,0.0,0.2546360492706299,0.0,0.026022911071777344,0.0,True,23.099283089765347,6.463748931884766,,23.099283089765347,False,5.023584468100529,10.082502603530884,,5.023584468100529,False,0.0,13.877537965774536,,0.0,True
6,3,18,42,0.0,1.5495407581329346,0.0,0.03403067588806152,0.0,True,26.93155277934395,151.86205053329468,,26.93155277934395,False,,,,,,,,,,
6,3,18,7,0.0,1.5486578941345215,0.0,0.03600001335144043,0.0,True,0.0,152.90471649169922,,0.0,True,,,,,,,,,,
6,3,18,1234,0.0,1.5024607181549072,0.0,0.0329899787902832,0.0,True,0.0,148.6504909992218,,0.0,True,,,,,,,,,,
6,3,18,100,0.0,1.5442757606506348,0.0,0.03300023078918457,0.0,True,46.551220487741,150.70482516288757,,46.551220487741,False,,,,,,,,,,
