approach,machine_id,D1_detection,D2_severity_ranking,D3_root_cause,D4_affected_component,D5_temporal_urgency,D6_cross_machine_correlation,D7_action_recommendation,D8_operator_explanation
Pure_ML,1,1,0,0,0,0,0,0,0
Pure_ML,3,1,0,0,0,0,0,1,0
Pure_ML,5,1,0,0,0,0,0,1,0
Pure_ML,7,1,0,0,0,0,0,0,0
Pure_ML,9,1,0,0,0,0,0,1,0
Pure_ML,11,1,0,0,0,0,0,1,0
Pure_ML,13,1,0,0,0,0,0,0,0
Pure_ML,15,1,0,0,0,0,0,1,0
Pure_ML,17,1,0,0,0,0,0,1,0
Pure_ML,19,1,0,0,0,0,0,0,0
Pure_ML,21,1,0,0,0,0,0,1,0
Pure_ML,23,1,0,0,0,0,0,1,0
Pure_ML,25,1,0,0,0,0,0,0,0
Pure_ML,27,1,0,0,0,0,0,1,0
Pure_ML,29,1,0,0,0,0,0,1,0
Pure_ML,31,1,0,0,0,0,0,0,0
Pure_ML,33,1,0,0,0,0,0,1,0
Pure_ML,35,1,0,0,0,0,0,0,0
Pure_ML,37,1,0,0,0,0,0,0,0
Pure_ML,39,1,0,0,0,0,0,0,0
Pure_ML,41,1,0,0,0,0,0,1,0
Pure_ML,43,1,0,0,0,0,0,0,0
Pure_ML,45,1,0,0,0,0,0,1,0
Pure_ML,47,1,0,0,0,0,0,1,0
Pure_ML,49,1,0,0,0,0,0,1,0
Pure_Classical,1,1,0,1,0,0,1,1,0
Pure_Classical,3,1,0,1,0,0,1,1,0
Pure_Classical,5,1,0,1,0,0,1,1,0
Pure_Classical,7,1,0,0,0,0,1,1,0
Pure_Classical,9,1,0,1,0,0,1,1,0
Pure_Classical,11,1,0,1,0,0,1,1,0
Pure_Classical,13,1,0,0,0,0,1,1,0
Pure_Classical,15,1,0,1,0,0,1,1,0
Pure_Classical,17,1,0,1,0,0,1,1,0
Pure_Classical,19,1,0,0,0,0,1,1,0
Pure_Classical,21,1,0,1,0,0,1,1,0
Pure_Classical,23,1,0,1,0,0,1,1,0
Pure_Classical,25,1,0,1,0,0,1,1,0
Pure_Classical,27,1,0,1,0,0,1,1,0
Pure_Classical,29,1,0,1,0,0,1,1,0
Pure_Classical,31,1,0,0,0,0,1,1,0
Pure_Classical,33,1,0,1,0,0,1,1,0
Pure_Classical,35,1,0,1,0,0,1,1,0
Pure_Classical,37,1,0,0,0,0,1,1,0
Pure_Classical,39,1,0,1,0,0,1,1,0
Pure_Classical,41,1,0,1,0,0,1,1,0
Pure_Classical,43,1,0,0,0,0,1,1,0
Pure_Classical,45,1,0,1,0,0,1,1,0
Pure_Classical,47,1,0,1,0,0,1,1,0
Pure_Classical,49,1,0,1,0,0,1,1,0
Pure_Agentic,1,1,0,1,1,1,1,1,1
Pure_Agentic,3,1,0,0,0,0,0,1,0
Pure_Agentic,5,1,0,0,0,0,0,1,0
Pure_Agentic,7,1,0,0,0,0,0,1,0
Pure_Agentic,9,1,0,0,0,0,0,1,0
Pure_Agentic,11,1,0,1,1,1,1,1,1
Pure_Agentic,13,1,0,0,0,0,0,1,0
Pure_Agentic,15,1,0,0,0,0,0,1,0
